"Issue ID","Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Priority","Labels"
"S4-01","Story","S4-01: Revisar expediente y evidencia en un visor autorizado","Como integrante habilitado del TD quiero revisar T01 T02/T03 y evidencia en un único flujo para sustanciar. CA1 vista cronológica y documentos íntegros; CA2 datos médicos sólo para autorizados; CA3 toda consulta/descarga sensible se audita; CA4 faltantes o archivos dañados son visibles; CA5 responsive y accesible.","","EP4","5","Highest","sprint-4"
"S4-02","Story","S4-02: Resolver causal T02 con fundamento trazable","Como vocal quiero aceptar o rechazar cada causal tipificada con fundamento para producir una decisión auditable. CA1 decisión por causal y evidencia; CA2 exige fundamento al rechazar o apartarse de regla; CA3 conserva autor/fecha/versión; CA4 no modifica el descargo presentado.","","EP4","3","Highest","sprint-4"
"S4-03","Story","S4-03: Valorar T03 mediante antecedentes y sana crítica","Como vocal quiero registrar la valoración extraordinaria y antecedentes aplicados para mantener consistencia. CA1 exige fundamento explícito; CA2 permite vincular resoluciones emitidas autorizadas; CA3 advierte diferencias no impide decisión; CA4 la información médica no se publica.","","EP4","3","High","sprint-4"
"S4-04","Story","S4-04: Gestionar apartamiento y suplencia conforme al Estatuto","Como TD quiero constituir correctamente el cuerpo cuando un integrante está involucrado. CA1 tres titulares y tres suplentes por 4.º 5.º y 6.º; CA2 no implementa recusación prohibida por art. 93; CA3 aplica apartamiento/suplencia o caso ad hoc del art. 95; CA4 composición y causa quedan inmutables antes de votar; CA5 incompatibilidad de cargos se valida.","","EP4","3","Highest","sprint-4"
"S4-05","Story","S4-05: Registrar voto nominal y mayoría absoluta","Como vocal habilitado quiero votar nominalmente con fundamento para adoptar una decisión colegiada. CA1 un voto por integrante habilitado y expediente; CA2 no puede editarse tras cerrar salvo rectificación formal autorizada; CA3 mayoría se calcula sobre composición estatutaria efectiva y cubre 2 de 3 ordinario; CA4 abstención/ausencia siguen regla aprobada; CA5 concurrencia e idempotencia probadas.","","EP4","5","Highest","sprint-4"
"S4-06","Story","S4-06: Redactar resolución con estructura reglamentaria","Como TD quiero generar la resolución con Vistos Considerandos y artículos resolutivos para formalizar la decisión. CA1 usa el número del expediente; CA2 plantilla versionada y campos obligatorios; CA3 puntos/medidas derivan de la votación cerrada; CA4 previsualización PDF no equivale a emisión; CA5 no contiene adjuntos privados.","","EP4","3","Highest","sprint-4"
"S5-01","Story","S5-01: Firmar resolución por representación de los tres grupos Activos","Como vocal habilitado de categoría Activo quiero firmar la resolución cerrada para acreditar conformidad colegiada. CA1 una firma válida por grupo 4.º, 5.º y 6.º o composición ad hoc documentada; CA2 firma se asocia al hash real del documento y no es simulada; CA3 cambio invalida firmas previas; CA4 mecanismo PIN/credencial se implementa según ADR aprobada; CA5 auditoría no guarda secretos.","","EP5","5","Highest","sprint-5"
"S5-02","Story","S5-02: Emitir resolución y notificar sin duplicados","Como sistema quiero enviar la resolución firmada y pasar a Emitido para cerrar el proceso. CA1 estado 5 mientras faltan correos y estado 6 sólo tras despacho acordado; CA2 reintentos idempotentes; CA3 destinatarios y resultado auditados; CA4 archivo emitido es inmutable y verificable; CA5 no se reabren causas de TD anterior salvo regla expresamente habilitada.","","EP5","3","Highest","sprint-5"
"S5-03","Story","S5-03: Aplicar movimientos de puntos inmutables e idempotentes","Como sistema quiero acreditar la resolución en el libro mayor una sola vez para preservar saldos. CA1 transacción atómica vinculada a resolución emitida y socio; CA2 restricción única impide doble aplicación; CA3 no existen UPDATE/DELETE manuales de saldo; CA4 importe Decimal admite 0,5 y 1,5; CA5 reversión sólo mediante contramovimiento autorizado; CA6 reconciliación con legado queda registrada.","","EP5","5","Highest","sprint-5"
"S5-04","Story","S5-04: Consultar Mis expedientes con privacidad por objeto","Como socio quiero ver mis expedientes y resoluciones para conocer mi situación. CA1 sólo propios salvo rol autorizado; CA2 muestra estado y fechas sin deliberación reservada; CA3 descarga resolución emitida; CA4 T02/T03 y evidencia no son públicos; CA5 mobile-first y accesible.","","EP5","3","High","sprint-5"
"S5-05","Story","S5-05: Publicar resoluciones con datos protegidos","Como comunidad autorizada quiero consultar fallos emitidos para promover transparencia sin exponer evidencia sensible. CA1 sólo resolución final emitida; CA2 política de anonimización/visibilidad aprobada; CA3 nunca publica certificados ni adjuntos; CA4 búsqueda respeta permisos y registra acceso cuando corresponda.","","EP5","2","High","sprint-5"
"S5-06","Story","S5-06: Alertar umbral crítico -10 y política preventiva configurable","Como autoridad quiero recibir alertas de saldos críticos para actuar conforme al reglamento. CA1 saldo negativo de 10 o más genera alerta crítica única por cruce; CA2 destinatario y acción siguen acto aprobado; CA3 umbral -7 está desactivable/configurable hasta validar Circular 001/2026; CA4 reversiones reevalúan sin borrar historial; CA5 no se notifica información médica.","","EP5","2","Highest","sprint-5"
"S6-01","Story","S6-01: Consolidar balance cuatrimestral por subcomisión y autoridad","Como Vicepresidencia/Auditoría Interna quiero consolidar premios y sanciones para cumplir el art. 137. CA1 período cuatrimestral y dos emisiones anuales; CA2 desglose por subcomisión/autoridad y totales reconciliables; CA3 TD recibe el informe pero no se modela como único propietario; CA4 acceso y generación auditados; CA5 fuente es el libro mayor reconciliado.","","EP6","5","Highest","sprint-6"
"S6-02","Story","S6-02: Exportar balance verificable en PDF y datos abiertos internos","Como autoridad autorizada quiero exportar el balance para presentarlo ante CD. CA1 PDF institucional con período filtros totales y fecha; CA2 exportación CSV preserva decimales; CA3 archivo incluye identificador/hash verificable; CA4 datos personales se limitan según audiencia; CA5 diseño imprime correctamente.","","EP6","3","High","sprint-6"
"S6-03","Story","S6-03: Buscar resoluciones como antecedentes internos","Como TD quiero buscar resoluciones emitidas por causal y texto para orientar decisiones consistentes. CA1 sólo documentos autorizados; CA2 filtros por causal fecha resultado y puntos; CA3 enlace a expediente respeta permisos; CA4 no convierte antecedentes en regla automática. Alcance stretch: se inicia sólo si no compromete homologación.","","EP6","3","Medium","sprint-6,stretch"
"S6-04","Task","S6-04: Migrar y reconciliar datos legados con rollback probado","CA1 alcance y mapeo aprobados; CA2 ensayo en copia no productiva con conteos hashes y diferencias; CA3 movimientos y expedientes no se duplican; CA4 rollback restaura estado previo sin DELETE manual de libro mayor; CA5 informe de reconciliación firmado por responsable. Dependencia: S1-01 y acceso a backup controlado.","","EP6","5","Highest","sprint-6"
"S6-05","Task","S6-05: Ejecutar hardening, accesibilidad, rendimiento y E2E","CA1 suite crítica end-to-end cubre T01 a emisión y puntos; CA2 dominio tiene cobertura al menos 80 por ciento; CA3 controles OWASP y autorización por objeto verificados; CA4 WCAG del flujo principal y viewports 360–414 validados; CA5 p95 y prueba de 50 concurrentes cumplen objetivos; CA6 no hay secretos ni datos sensibles en logs.","","EP6","5","Highest","sprint-6"
"S6-06","Task","S6-06: Desplegar staging y completar homologación/transferencia","CA1 migraciones y rollback ejecutados en staging; CA2 OpenAPI y runbook de operación/incidentes actualizados; CA3 monitoreo backups y restauración probados; CA4 UAT firmado por Product Owner TD y Cómputos; CA5 pendientes y deuda quedan registrados con responsable y fecha.","","EP6","3","Highest","sprint-6"
"PB-01","Story","PB-01: Gestionar caso interno y promoverlo a T01","Como TD quiero registrar una solicitud de socio o actuación de oficio entrevistas y debate para decidir si corresponde iniciar un T01. CA1 identifica origen y autoridad; CA2 registra entrevistas con permisos y trazabilidad; CA3 comunica la decisión a involucrados; CA4 la promoción genera T01 enlazado sin duplicar evidencia; CA5 el cierre sin T01 queda fundado. Pendiente: reglas de plazo publicidad y conservación. Trazabilidad: diagrama art. 15 Reglamento Procesal 2026.","","EP2","5","High","backlog,decision-pendiente"
"PB-02","Story","PB-02: Tramitar apelación y adecuación del T01","Como involucrado quiero apelar el T01 por el canal formal para que el TD debata y comunique cualquier adecuación. CA1 apelación vía canal aprobado y plazo parametrizado; CA2 debate puede adecuar puntos e involucrados sin borrar versión original; CA3 motivos se notifican a solicitante y solicitado; CA4 resolución final conserva trazabilidad; CA5 impacto en estados y derecho de defensa aprobado por TD. Trazabilidad: diagrama art. 14 Reglamento Procesal 2026.","","EP4","5","High","backlog,decision-pendiente"
"PB-03","Story","PB-03: Implementar enmienda controlada de expediente emitido","Como autoridad habilitada quiero enmendar una resolución sólo en los supuestos reglamentarios para corregir sin destruir el historial. CA1 actor plazo y causales se definen mediante decisión institucional; CA2 resolución emitida original permanece inmutable; CA3 enmienda crea nueva versión y contramovimientos idempotentes si afecta puntos; CA4 no permite a una gestión posterior alterar decisiones prohibidas; CA5 notifica y audita el ciclo completo. Bloqueada hasta conciliar art. 13 y regla de irrevisabilidad.","","EP5","3","High","backlog,decision-pendiente"
